Id	Exam1	Exam2	Exam3	Quiz1	Quiz2	Quiz3	Lab1	Lab2	Lab3	Lab4	Lab5	Lab6	Journal	Final
37192	98	47	48	67	70	74	57	87	57	56	67	93	53	87	
35366	49	85	44	42	69	59	89	73	58	98	42	86	42	97	
44454	70	94	82	78	61	52	52	78	99	70	95	66	63	47	
22692	88	57	98	93	59	66	51	48	99	69	46	41	54	48	
67072	89	79	91	71	57	52	83	69	90	82	99	84	47	61	
61816	60	49	48	57	41	68	84	53	76	82	83	82	84	98	
60777	81	86	70	71	57	87	83	40	56	73	83	54	57	90	
45864	48	50	85	57	67	87	86	51	40	61	94	83	43	77	
49904	94	57	66	63	88	84	50	71	84	66	44	67	81	61	
26619	56	70	67	41	88	94	89	73	45	89	94	99	72	97	
44806	52	91	92	78	54	80	61	65	51	45	91	55	73	72	
46459	89	89	46	56	90	94	50	79	66	55	68	60	53	40	
27308	88	52	48	80	90	63	59	51	88	71	57	79	86	90	
20433	62	79	99	69	95	89	62	44	68	89	59	96	49	73	
65819	66	61	47	75	40	98	98	60	49	86	91	66	64	77	
26129	75	99	96	73	68	90	62	91	95	90	79	54	86	89	
56772	82	55	47	89	90	48	87	88	68	96	73	58	62	97	
64841	78	71	94	73	44	61	63	66	52	57	56	91	72	41	
49502	58	83	95	66	72	85	74	58	72	41	54	44	60	76	
11210	54	54	72	48	88	77	70	50	43	82	68	59	73	100	
30781	52	58	43	46	84	76	91	57	95	63	59	48	67	79	
54431	68	94	99	40	41	86	78	72	97	81	53	64	40	87	
34075	61	99	82	64	45	66	40	97	83	95	59	42	42	87	
50918	87	55	74	86	56	76	72	94	48	68	75	62	93	75	
18205	57	96	47	99	60	52	64	60	49	47	54	69	49	56	
25695	91	43	71	65	89	88	41	61	81	49	89	56	71	82	
60760	80	99	87	87	98	46	99	61	66	48	69	81	77	79	
67331	93	70	40	64	95	90	51	97	51	93	45	100	48	77	
